,날짜,언론사,기사제목,링크
0, 2021.12.28 07:53,머니투데이,"中 보란듯 꺼낸 삼성의 신기술...""우린 두 번 접는다""[영상]",https://finance.naver.com/item/news_read.naver?article_id=0004688725&office_id=008&code=005930&page=89&sm=
1, 2021.12.28 07:43,헤럴드경제,"연기금, 올해 삼전 11조 순매도…크래프톤·삼바·카카오페이 샀다",https://finance.naver.com/item/news_read.naver?article_id=0001929929&office_id=016&code=005930&page=89&sm=
2, 2021.12.28 06:05,서울경제,삼성·현대차 '車 반도체 동맹' 초읽기···공동개발·위탁생산 유력,https://finance.naver.com/item/news_read.naver?article_id=0004001442&office_id=011&code=005930&page=89&sm=
3, 2021.12.27 21:46,서울경제,삼성·현대차 ‘車 반도체 동맹’ 초읽기···공동개발·위탁생산 유력,https://finance.naver.com/item/news_read.naver?article_id=0004001427&office_id=011&code=005930&page=89&sm=
4, 2021.12.27 21:26,매경이코노미,2022년 연초부터 증시 수급 꼬일까? 삼전 블록딜·LG엔솔 공모…매도...,https://finance.naver.com/item/news_read.naver?article_id=0000072328&office_id=024&code=005930&page=89&sm=
5, 2021.12.27 20:43,헤럴드경제,“중국 이건 못 베낄걸” 삼성 ‘상상초월’ 폴더블폰 등장 “이게 가능?...,https://finance.naver.com/item/news_read.naver?article_id=0001929891&office_id=016&code=005930&page=89&sm=
6, 2021.12.27 19:35,매일경제,"한국소비자원, ""무선청소기, 큰 이물질 청소 성능 다이슨, 디베아, 삼...",https://finance.naver.com/item/news_read.naver?article_id=0004900080&office_id=009&code=005930&page=89&sm=
7, 2021.12.27 18:18,한국경제,앱으로 모든 가전 제어 '삼성 빌리지',https://finance.naver.com/item/news_read.naver?article_id=0004645612&office_id=015&code=005930&page=89&sm=
8, 2021.12.27 17:51,파이낸셜뉴스,"삼성전자, 부산 에코델타시티에 '스마트홈' 구축",https://finance.naver.com/item/news_read.naver?article_id=0004762649&office_id=014&code=005930&page=89&sm=
9, 2021.12.27 10:27,파이낸셜뉴스,"[특징주] 코맥스, 삼성전자 부산에 3만세대 '스마트홈' 구축↑.. ...",https://finance.naver.com/item/news_read.naver?article_id=0004762314&office_id=014&code=005930&page=89&sm=
10, 2021.12.27 18:10,서울경제,① 삼성과 치킨게임 아닌 윈윈 생태계 구축,https://finance.naver.com/item/news_read.naver?article_id=0004001373&office_id=011&code=005930&page=89&sm=
11, 2021.12.27 18:05,이데일리,"""CEO에 준법의무 부과""…삼성發 컴플라이언스, 재계 '스탠다드' 된다",https://finance.naver.com/item/news_read.naver?article_id=0005114803&office_id=018&code=005930&page=89&sm=
