일자,주가변동,sent_score,sent_label,sent_label_whole
20210101,75.0,230.60641765627602,57,1
20210102,14.0,27.51162406654334,11,1
20210103,93.0,243.46920767634143,71,1
20210104,270.0,125.02806885601306,175,1
20210105,0.0,-327.44446491269133,124,0
20210106,242.0,2.863534679104295,139,1
20210107,212.0,-73.0877082338855,118,1
20210108,0.0,-478.90895217291535,68,0
20210109,0.0,-39.21452079462531,8,1
20210110,0.0,28.10090630004593,41,1
20210111,0.0,-51.49104794322506,126,1
20210112,220.0,112.53770979171243,139,1
20210113,236.0,179.4417988303297,147,1
20210114,0.0,-185.26801682521418,104,1
20210115,0.0,-37.58642527673234,74,1
20210116,20.0,40.843618435085155,16,1
20210117,97.0,43.16685011502195,63,1
20210118,235.0,131.43088464409587,151,1
20210119,231.0,12.145861598078302,138,1
20210120,246.0,111.50110472489764,160,1
20210121,0.0,96.26140273429415,135,1
20210122,160.0,37.28211307986719,95,1
20210123,0.0,-2.7732780489661226,3,1
20210124,0.0,15.699686947241185,51,1
20210125,0.0,-115.76864268494658,139,1
20210126,0.0,-1791.2928403690255,105,0
20210127,0.0,-1837.0558382011295,127,0
20210128,0.0,-3487.8624202469273,123,0
20210129,219.0,-2108.139939811455,96,0
20210130,16.0,64.47376900509495,14,1
20210131,107.0,188.07688479856662,76,1
20210201,263.0,249.73894832281638,165,1
20210202,208.0,199.58211452787734,129,1
20210203,0.0,-368.7819214861305,120,0
20210204,224.0,-195.4474102839357,121,0
20210205,0.0,-245.14442328520406,86,0
20210206,0.0,-44.67755418131077,9,1
20210207,0.0,10.043836472852535,58,1
20210208,0.0,-307.6808869960313,119,0
20210209,236.0,-202.48684190562994,136,0
20210210,173.0,-160.92512805896936,83,1
20210211,38.0,54.34002915138134,22,1
20210212,33.0,19.354923005352937,19,1
20210213,36.0,-1.107940788188464,22,1
20210214,117.0,135.99452538982078,84,1
20210215,236.0,38.37735725134308,139,1
20210216,0.0,-150.58294154837498,108,1
20210217,0.0,-202.10404867022336,109,0
20210218,213.0,8.30082806057819,123,1
20210219,0.0,-193.0051374192899,82,1
20210220,0.0,50.663029317730114,16,1
20210221,0.0,-43.260265438265584,59,1
20210222,0.0,-293.69391717650996,103,0
20210223,0.0,-196.55994727134572,107,0
20210224,238.0,106.29293433206705,134,1
20210225,0.0,-170.3325530995293,116,1
20210226,149.0,96.4230542251676,93,1
20210227,22.0,38.50490695892493,14,1
20210228,80.0,49.06875298924697,50,1
20210301,146.0,214.01864462625986,95,1
20210302,241.0,9.124430529205377,143,1
20210303,0.0,-281.93411438171415,98,0
20210304,0.0,-602.4499691593076,102,0
20210305,0.0,-872.3194105185895,88,0
20210306,0.0,20.60708688985473,10,1
20210307,0.0,-14.44454420163864,54,1
20210308,0.0,-255.10178372353812,109,0
20210309,0.0,-440.44748371549946,95,0
20210310,246.0,2.469665902148577,135,1
20210311,224.0,191.90541282271602,150,1
