No,Machine,Point,Temp,Createtime
3273333,2,C,52.5,2023-09-25 09:57:34
3273332,2,C,52.6,2023-09-25 09:57:33
3273331,2,C,52.7,2023-09-25 09:57:32
3273330,2,C,53.7,2023-09-25 09:57:31
3273329,2,C,52.6,2023-09-25 09:57:30
3273328,2,C,53.2,2023-09-25 09:57:29
3273327,2,C,52.9,2023-09-25 09:57:28
3273326,2,C,53.2,2023-09-25 09:57:27
3273325,2,C,51.3,2023-09-25 09:57:26
3273324,2,C,53.1,2023-09-25 09:57:25
3273323,2,C,53.2,2023-09-25 09:57:24
3273322,2,C,53.7,2023-09-25 09:57:23
3273321,2,C,52.7,2023-09-25 09:57:22
3273320,2,C,53.3,2023-09-25 09:57:21
3273319,2,C,54.4,2023-09-25 09:57:20
3273318,2,C,52.9,2023-09-25 09:57:19
3273317,2,C,51.7,2023-09-25 09:57:18
3273316,2,C,53.5,2023-09-25 09:57:17
3273315,2,C,52.9,2023-09-25 09:57:15
3273314,2,C,53.4,2023-09-25 09:57:14
3273313,2,C,52.9,2023-09-25 09:57:13
3273312,2,C,53.1,2023-09-25 09:57:12
3273311,2,C,54.3,2023-09-25 09:57:11
3273310,2,C,53.5,2023-09-25 09:57:10
3273309,2,C,53.5,2023-09-25 09:57:09
3273308,2,C,52.4,2023-09-25 09:57:08
3273307,2,C,51.9,2023-09-25 09:57:07
3273306,2,C,53,2023-09-25 09:57:06
3273305,2,C,52.1,2023-09-25 09:57:05
3273304,2,C,53.4,2023-09-25 09:57:04
3273303,2,C,52.7,2023-09-25 09:57:03
3273302,2,C,50.8,2023-09-25 09:57:02
3273301,2,C,53.5,2023-09-25 09:57:01
3273300,2,C,51.8,2023-09-25 09:57:00
3273299,2,C,52.8,2023-09-25 09:56:59
3273298,2,C,55.5,2023-09-25 09:56:58
3273297,2,C,52.8,2023-09-25 09:56:57
3273296,2,C,54.3,2023-09-25 09:56:56
3273295,2,C,55.1,2023-09-25 09:56:55
3273294,2,C,54.9,2023-09-25 09:56:54
3273293,2,C,53.5,2023-09-25 09:56:53
3273292,2,C,53,2023-09-25 09:56:52
3273291,2,C,53.2,2023-09-25 09:56:51
3273290,2,C,53.2,2023-09-25 09:56:49
3273289,2,C,53.2,2023-09-25 09:56:48
3273288,2,C,53,2023-09-25 09:56:47
3273287,2,C,55.4,2023-09-25 09:56:46
3273286,2,C,55,2023-09-25 09:56:45
3273285,2,C,54.7,2023-09-25 09:56:44
3273284,2,C,52.9,2023-09-25 09:56:43
3273283,2,C,54,2023-09-25 09:56:42
3273282,2,C,53,2023-09-25 09:56:41
3273281,2,C,53.1,2023-09-25 09:56:40
3273280,2,C,52.1,2023-09-25 09:56:39
3273279,2,C,52.4,2023-09-25 09:56:38
3273278,2,C,52.4,2023-09-25 09:56:37
3273277,2,C,53.7,2023-09-25 09:56:36
3273276,2,C,51.7,2023-09-25 09:56:35
3273275,2,C,52.8,2023-09-25 09:56:34
3273274,2,C,52.6,2023-09-25 09:56:33
3273273,2,C,52.7,2023-09-25 09:56:31
3273272,2,C,54.2,2023-09-25 09:56:30
3273271,2,C,53.5,2023-09-25 09:56:29
3273270,2,C,54.2,2023-09-25 09:56:28
3273269,2,C,53.2,2023-09-25 09:56:27
3273268,2,C,53.4,2023-09-25 09:56:26
3273267,2,C,51.8,2023-09-25 09:56:25
3273266,2,C,53,2023-09-25 09:56:24
3273265,2,C,54.7,2023-09-25 09:56:23
3273264,2,C,52.2,2023-09-25 09:56:22
3273263,2,C,52.5,2023-09-25 09:56:21
3273262,2,C,52.2,2023-09-25 09:56:20
3273261,2,C,53.2,2023-09-25 09:56:19
3273260,2,C,52.1,2023-09-25 09:56:18
3273259,2,C,51.8,2023-09-25 09:56:17
3273258,2,C,52.2,2023-09-25 09:56:16
3273257,2,C,52,2023-09-25 09:56:15
3273256,2,C,52.2,2023-09-25 09:56:14
3273255,2,C,53.7,2023-09-25 09:56:13
3273254,2,C,54.7,2023-09-25 09:56:12
3273253,2,C,52,2023-09-25 09:56:11
3273252,2,C,51.3,2023-09-25 09:56:10
3273251,2,C,53.5,2023-09-25 09:56:09
3273250,2,C,53.7,2023-09-25 09:56:08
3273249,2,C,53.2,2023-09-25 09:56:07
3273248,2,C,53.9,2023-09-25 09:56:06
3273247,2,C,53.9,2023-09-25 09:56:04
3273246,2,C,53.6,2023-09-25 09:56:03
3273245,2,C,54.6,2023-09-25 09:56:02
3273244,2,C,52.9,2023-09-25 09:56:01
3273243,2,C,52.9,2023-09-25 09:56:00
3273242,2,C,53.9,2023-09-25 09:55:59
3273241,2,C,52.2,2023-09-25 09:55:58
3273240,2,C,52.7,2023-09-25 09:55:57
3273239,2,C,52.8,2023-09-25 09:55:56
3273238,2,C,52.7,2023-09-25 09:55:55
3273237,2,C,53.3,2023-09-25 09:55:54
3273236,2,C,53,2023-09-25 09:55:53
3273235,2,C,54,2023-09-25 09:55:52
3273234,2,C,54.3,2023-09-25 09:55:51
3273233,2,C,53,2023-09-25 09:55:50
3273232,2,C,52.8,2023-09-25 09:55:49
3273231,2,C,52.9,2023-09-25 09:55:48
3273230,2,C,52.6,2023-09-25 09:55:47
3273229,2,C,52.6,2023-09-25 09:55:46
3273228,2,C,53.8,2023-09-25 09:55:45
3273227,2,C,52.6,2023-09-25 09:55:43
3273226,2,C,53.8,2023-09-25 09:55:42
3273225,2,C,53.4,2023-09-25 09:55:41
3273224,2,C,53.6,2023-09-25 09:55:40
3273223,2,C,52.9,2023-09-25 09:55:39
3273222,2,C,55.5,2023-09-25 09:55:38
3273221,2,C,54.2,2023-09-25 09:55:37
3273220,2,C,53.3,2023-09-25 09:55:36
3273219,2,C,51.7,2023-09-25 09:55:35
3273218,2,C,53.7,2023-09-25 09:55:34
3273217,2,C,54.2,2023-09-25 09:55:33
3273216,2,C,53.2,2023-09-25 09:55:32
3273215,2,C,53,2023-09-25 09:55:31
3273214,2,C,54.3,2023-09-25 09:55:30
3273213,2,C,53.6,2023-09-25 09:55:29
3273212,2,C,52.1,2023-09-25 09:55:28
3273211,2,C,52.8,2023-09-25 09:55:27
3273210,2,C,53.8,2023-09-25 09:55:26
3273209,2,C,53.6,2023-09-25 09:55:25
3273208,2,C,53.2,2023-09-25 09:55:23
3273207,2,C,52.8,2023-09-25 09:55:22
3273206,2,C,53.9,2023-09-25 09:55:21
3273205,2,C,54.6,2023-09-25 09:55:20
3273204,2,C,54.3,2023-09-25 09:55:19
3273203,2,C,54.5,2023-09-25 09:55:18
3273202,2,C,53.2,2023-09-25 09:55:17
3273201,2,C,54.6,2023-09-25 09:55:16
3273200,2,C,54.8,2023-09-25 09:55:15
3273199,2,C,55.1,2023-09-25 09:55:14
3273198,2,C,54.1,2023-09-25 09:55:13
3273197,2,C,55.9,2023-09-25 09:55:12
3273196,2,C,54.6,2023-09-25 09:55:11
3273195,2,C,54.7,2023-09-25 09:55:10
3273194,2,C,52.3,2023-09-25 09:55:09
3273193,2,C,53.8,2023-09-25 09:55:07
3273192,2,C,52.6,2023-09-25 09:55:06
3273191,2,C,53.1,2023-09-25 09:55:05
3273190,2,C,53.4,2023-09-25 09:55:04
3273189,2,C,55.3,2023-09-25 09:55:03
3273188,2,C,54.6,2023-09-25 09:55:02
3273187,2,C,54.4,2023-09-25 09:55:01
3273186,2,C,54.1,2023-09-25 09:55:00
3273185,2,C,56.2,2023-09-25 09:54:59
3273184,2,C,54.9,2023-09-25 09:54:58
3273183,2,C,54.2,2023-09-25 09:54:57
3273182,2,C,53.5,2023-09-25 09:54:56
3273181,2,C,53,2023-09-25 09:54:55
3273180,2,C,53.9,2023-09-25 09:54:54
3273179,2,C,54.4,2023-09-25 09:54:53
3273178,2,C,54.9,2023-09-25 09:54:52
3273177,2,C,54.4,2023-09-25 09:54:51
3273176,2,C,53.8,2023-09-25 09:54:50
3273175,2,C,52,2023-09-25 09:54:49
3273174,2,C,53.9,2023-09-25 09:54:48
3273173,2,C,56.1,2023-09-25 09:54:46
3273172,2,C,56.1,2023-09-25 09:54:45
3273171,2,C,54.9,2023-09-25 09:54:44
3273170,2,C,56.2,2023-09-25 09:54:43
3273169,2,C,53.1,2023-09-25 09:54:42
3273168,2,C,54.6,2023-09-25 09:54:41
3273167,2,C,54.8,2023-09-25 09:54:40
3273166,2,C,54.5,2023-09-25 09:54:39
3273165,2,C,54.4,2023-09-25 09:54:38
3273164,2,C,54.2,2023-09-25 09:54:37
3273163,2,C,54.7,2023-09-25 09:54:36
3273162,2,C,53.2,2023-09-25 09:54:35
3273161,2,C,54.4,2023-09-25 09:54:34
3273160,2,C,55.3,2023-09-25 09:54:33
3273159,2,C,57.3,2023-09-25 09:54:32
3273158,2,C,53.9,2023-09-25 09:54:31
3273157,2,C,52.9,2023-09-25 09:54:30
3273156,2,C,54.1,2023-09-25 09:54:28
3273155,2,C,53.1,2023-09-25 09:54:27
3273154,2,C,53,2023-09-25 09:54:26
3273153,2,C,54,2023-09-25 09:54:25
3273152,2,C,54.9,2023-09-25 09:54:24
3273151,2,C,53.8,2023-09-25 09:54:23
3273150,2,C,53.2,2023-09-25 09:54:22
3273149,2,C,53.9,2023-09-25 09:54:21
3273148,2,C,54.7,2023-09-25 09:54:20
3273147,2,C,55.6,2023-09-25 09:54:19
3273146,2,C,53.9,2023-09-25 09:54:18
3273145,2,C,55.2,2023-09-25 09:54:17
3273144,2,C,54,2023-09-25 09:54:16
3273143,2,C,55.3,2023-09-25 09:54:15
3273142,2,C,53.2,2023-09-25 09:54:14
3273141,2,C,54.4,2023-09-25 09:54:13
3273140,2,C,55.8,2023-09-25 09:54:12
3273139,2,C,55.6,2023-09-25 09:54:11
3273138,2,C,55.4,2023-09-25 09:54:10
3273137,2,C,55.6,2023-09-25 09:54:08
