No,Machine,Point,Temp,Createtime
3268983,2,C,8.2,2023-09-25 14:55:15
3268982,2,C,10.8,2023-09-25 14:55:13
3268981,2,C,6.7,2023-09-25 14:55:12
3268980,2,C,59,2023-09-25 14:55:11
3268979,2,C,12.4,2023-09-25 14:55:10
3268978,2,C,10.3,2023-09-25 14:55:09
3268977,2,C,15.2,2023-09-25 14:55:08
3268976,2,C,6.1,2023-09-25 14:55:06
3268975,2,C,12.8,2023-09-25 14:55:05
3268973,2,C,14.5,2023-09-25 14:55:04
3268971,2,C,10.2,2023-09-25 14:55:03
3268969,2,C,8.2,2023-09-25 14:55:02
3268967,2,C,8.1,2023-09-25 14:55:01
3268965,2,C,12.9,2023-09-25 14:55:00
3268963,2,C,11.4,2023-09-25 14:54:58
3268962,2,C,15.3,2023-09-25 14:54:57
3268961,2,C,9.1,2023-09-25 14:54:56
3268960,2,C,8.5,2023-09-25 14:54:55
3268958,2,C,9.3,2023-09-25 14:54:54
3268957,2,C,6.5,2023-09-25 14:54:53
3268956,2,C,10.1,2023-09-25 14:54:51
3268954,2,C,6.3,2023-09-25 14:54:50
3268951,2,C,4.2,2023-09-25 14:54:49
3268950,2,C,8.3,2023-09-25 14:54:48
3268948,2,C,14.6,2023-09-25 14:54:47
3268946,2,C,9.3,2023-09-25 14:54:45
3268945,2,C,9.7,2023-09-25 14:54:43
3268944,2,C,5.7,2023-09-25 14:54:42
3268943,2,C,4.8,2023-09-25 14:54:41
3268942,2,C,10.2,2023-09-25 14:54:40
3268941,2,C,6.6,2023-09-25 14:54:38
3268940,2,C,15.3,2023-09-25 14:54:37
3268938,2,C,10,2023-09-25 14:54:36
3268936,2,C,7.9,2023-09-25 14:54:35
3268934,2,C,12.7,2023-09-25 14:54:34
3268932,2,C,14.4,2023-09-25 14:54:32
3268931,2,C,11,2023-09-25 14:54:31
3268930,2,C,7.6,2023-09-25 14:54:30
3268929,2,C,8.7,2023-09-25 14:54:29
3268928,2,C,13.5,2023-09-25 14:54:28
3268927,2,C,6.5,2023-09-25 14:54:26
3268926,2,C,7.3,2023-09-25 14:54:25
3268925,2,C,8.8,2023-09-25 14:54:24
3268924,2,C,7.8,2023-09-25 14:54:23
3268923,2,C,11,2023-09-25 14:54:22
3268922,2,C,10.4,2023-09-25 14:54:20
3268921,2,C,6.5,2023-09-25 14:54:19
3268920,2,C,13.6,2023-09-25 14:54:18
3268919,2,C,5.3,2023-09-25 14:54:17
3268918,2,C,9.6,2023-09-25 14:54:15
3268917,2,C,13.7,2023-09-25 14:54:14
3268916,2,C,10.8,2023-09-25 14:54:13
3268915,2,C,16.3,2023-09-25 14:54:12
3268914,2,C,4.9,2023-09-25 14:54:11
3268913,2,C,12.7,2023-09-25 14:54:10
3268912,2,C,14.7,2023-09-25 14:54:08
3268911,2,C,12.3,2023-09-25 14:54:07
3268910,2,C,5.9,2023-09-25 14:54:06
3268909,2,C,14.8,2023-09-25 14:54:05
3268908,2,C,10.8,2023-09-25 14:54:04
3268907,2,C,11,2023-09-25 14:54:03
3268906,2,C,8.1,2023-09-25 14:54:02
3268905,2,C,13.9,2023-09-25 14:54:00
3268904,2,C,10.2,2023-09-25 14:53:59
3268902,2,C,6.6,2023-09-25 14:53:58
3268901,2,C,11.1,2023-09-25 14:53:57
3268900,2,C,13,2023-09-25 14:53:56
3268899,2,C,6.3,2023-09-25 14:53:54
3268898,2,C,9.9,2023-09-25 14:53:53
3268896,2,C,11.1,2023-09-25 14:53:52
3268895,2,C,8.2,2023-09-25 14:53:51
3268893,2,C,69.1,2023-09-25 14:53:50
3268892,2,C,65.8,2023-09-25 14:53:48
3268891,2,C,71.2,2023-09-25 14:53:47
3268890,2,C,69.5,2023-09-25 14:53:46
3268888,2,C,40.5,2023-09-25 14:53:45
3268886,2,C,66.2,2023-09-25 14:53:44
3268885,2,C,72.9,2023-09-25 14:53:43
3268883,2,C,73.4,2023-09-25 14:53:41
3268881,2,C,73.6,2023-09-25 14:53:40
3268880,2,C,11.5,2023-09-25 14:53:39
3268879,2,C,11.6,2023-09-25 14:53:38
3268877,2,C,7.2,2023-09-25 14:53:37
3268876,2,C,13.2,2023-09-25 14:53:36
3268875,2,C,9.9,2023-09-25 14:53:34
3268874,2,C,10.8,2023-09-25 14:53:33
3268873,2,C,6.4,2023-09-25 14:53:32
3268872,2,C,4.2,2023-09-25 14:53:31
3268871,2,C,12.1,2023-09-25 14:53:30
3268870,2,C,13.1,2023-09-25 14:53:28
3268869,2,C,10.5,2023-09-25 14:53:27
3268867,2,C,10.1,2023-09-25 14:53:26
3268865,2,C,12.9,2023-09-25 14:53:25
3268862,2,C,11.8,2023-09-25 14:53:24
3268861,2,C,6.9,2023-09-25 14:53:23
3268859,2,C,6.5,2023-09-25 14:53:21
3268858,2,C,9.5,2023-09-25 14:53:20
3268856,2,C,10,2023-09-25 14:53:19
3268855,2,C,9.7,2023-09-25 14:53:18
3268853,2,C,7.3,2023-09-25 14:53:17
3268851,2,C,11.4,2023-09-25 14:53:16
3268850,2,C,9.2,2023-09-25 14:53:15
3268848,2,C,9.9,2023-09-25 14:53:13
3268846,2,C,6.1,2023-09-25 14:53:12
3268844,2,C,10.6,2023-09-25 14:53:11
3268843,2,C,14.7,2023-09-25 14:53:10
3268841,2,C,9.9,2023-09-25 14:53:09
3268839,2,C,9.3,2023-09-25 14:53:08
3268836,2,C,11,2023-09-25 14:53:06
3268834,2,C,9,2023-09-25 14:53:05
3268832,2,C,5.8,2023-09-25 14:53:04
3268830,2,C,6.3,2023-09-25 14:53:03
3268828,2,C,8.4,2023-09-25 14:53:02
3268827,2,C,7.8,2023-09-25 14:53:00
3268826,2,C,2.3,2023-09-25 14:52:59
3268824,2,C,12,2023-09-25 14:52:58
3268821,2,C,4.8,2023-09-25 14:52:57
3268820,2,C,5.3,2023-09-25 14:52:56
3268817,2,C,9.1,2023-09-25 14:52:55
3268815,2,C,11.2,2023-09-25 14:52:53
3268814,2,C,6.9,2023-09-25 14:52:52
3268813,2,C,6.9,2023-09-25 14:52:51
3268812,2,C,10.2,2023-09-25 14:52:50
3268811,2,C,9,2023-09-25 14:52:49
3268810,2,C,14.3,2023-09-25 14:52:48
3268809,2,C,10.9,2023-09-25 14:52:46
3268319,2,C,11.5,2023-09-25 14:40:31
3268317,2,C,18.8,2023-09-25 14:40:29
3268315,2,C,10.7,2023-09-25 14:40:28
3268313,2,C,14.1,2023-09-25 14:40:27
3268311,2,C,15,2023-09-25 14:40:26
3268309,2,C,12.7,2023-09-25 14:40:25
3268307,2,C,14.3,2023-09-25 14:40:24
3268305,2,C,10.6,2023-09-25 14:40:22
3268303,2,C,11.2,2023-09-25 14:40:21
3268301,2,C,11.9,2023-09-25 14:40:20
3268299,2,C,8.7,2023-09-25 14:40:19
3268297,2,C,5.1,2023-09-25 14:40:18
3268295,2,C,6.2,2023-09-25 14:40:17
3268293,2,C,4.8,2023-09-25 14:40:15
3268291,2,C,14.5,2023-09-25 14:40:14
3268289,2,C,9.4,2023-09-25 14:40:13
3268287,2,C,10.8,2023-09-25 14:40:12
3268285,2,C,10.3,2023-09-25 14:40:10
3268283,2,C,6.6,2023-09-25 14:40:09
3268281,2,C,11.3,2023-09-25 14:40:08
3268279,2,C,6.4,2023-09-25 14:40:07
3268277,2,C,9,2023-09-25 14:40:06
3268275,2,C,12.3,2023-09-25 14:40:05
3268273,2,C,6.8,2023-09-25 14:40:03
3268271,2,C,9,2023-09-25 14:40:02
3268269,2,C,15,2023-09-25 14:40:01
3268267,2,C,7.4,2023-09-25 14:40:00
3268265,2,C,10.2,2023-09-25 14:39:59
3268263,2,C,16,2023-09-25 14:39:58
3268261,2,C,10.6,2023-09-25 14:39:57
3268259,2,C,7,2023-09-25 14:39:55
3268257,2,C,5.7,2023-09-25 14:39:54
3268255,2,C,12.5,2023-09-25 14:39:53
3268253,2,C,9,2023-09-25 14:39:52
3268251,2,C,11.7,2023-09-25 14:39:51
3268249,2,C,11.6,2023-09-25 14:39:49
3268247,2,C,8.7,2023-09-25 14:39:48
3268245,2,C,12,2023-09-25 14:39:47
3268243,2,C,12.4,2023-09-25 14:39:46
3268241,2,C,8.8,2023-09-25 14:39:45
3268239,2,C,7.1,2023-09-25 14:39:43
3268238,2,C,12.1,2023-09-25 14:39:42
3268236,2,C,9.3,2023-09-25 14:39:41
3268234,2,C,13.1,2023-09-25 14:39:40
3268232,2,C,11.3,2023-09-25 14:39:39
3268230,2,C,12.1,2023-09-25 14:39:38
3268228,2,C,12.2,2023-09-25 14:39:36
3268226,2,C,13.4,2023-09-25 14:39:35
3268224,2,C,12.4,2023-09-25 14:39:34
3268223,2,C,9.8,2023-09-25 14:39:33
3268222,2,C,13.3,2023-09-25 14:39:32
3268221,2,C,13.8,2023-09-25 14:39:30
3268220,2,C,11,2023-09-25 14:39:29
3268219,2,C,9.8,2023-09-25 14:39:28
3268218,2,C,14.4,2023-09-25 14:39:27
3268217,2,C,17.3,2023-09-25 14:39:25
3268216,2,C,5.3,2023-09-25 14:39:24
3268215,2,C,7.2,2023-09-25 14:39:23
3268214,2,C,2.4,2023-09-25 14:39:21
3268213,2,C,7.1,2023-09-25 14:39:20
3268212,2,C,8.8,2023-09-25 14:39:19
3268210,2,C,6.6,2023-09-25 14:39:18
3268207,2,C,12.8,2023-09-25 14:39:16
3268205,2,C,12.5,2023-09-25 14:39:14
3268203,2,C,9.3,2023-09-25 14:39:13
3268201,2,C,10.8,2023-09-25 14:39:12
3268199,2,C,15,2023-09-25 14:39:11
3268197,2,C,7.5,2023-09-25 14:39:10
3268195,2,C,16.8,2023-09-25 14:39:08
3268193,2,C,12.3,2023-09-25 14:39:06
3268191,2,C,7.8,2023-09-25 14:39:05
3268189,2,C,13.2,2023-09-25 14:39:04
3268187,2,C,12.2,2023-09-25 14:39:02
3268184,2,C,9.7,2023-09-25 14:39:01
3268182,2,C,9.5,2023-09-25 14:38:59
3268180,2,C,8,2023-09-25 14:38:58
3268178,2,C,11.7,2023-09-25 14:38:57
3268176,2,C,8.8,2023-09-25 14:38:56
3268175,2,C,10.9,2023-09-25 14:38:55
3268173,2,C,12.2,2023-09-25 14:38:54
3268171,2,C,9.8,2023-09-25 14:38:53
3268169,2,C,11.2,2023-09-25 14:38:51
3268167,2,C,9.1,2023-09-25 14:38:50
3268165,2,C,2.8,2023-09-25 14:38:49
3268163,2,C,9.4,2023-09-25 14:38:48
3268161,2,C,14.7,2023-09-25 14:38:47
3268159,2,C,7.2,2023-09-25 14:38:45
3268157,2,C,10.3,2023-09-25 14:38:44
3268155,2,C,10.8,2023-09-25 14:38:43
3268153,2,C,13.8,2023-09-25 14:38:42
3268151,2,C,5.3,2023-09-25 14:38:41
3268149,2,C,8.2,2023-09-25 14:38:40
3268147,2,C,5.2,2023-09-25 14:38:39
3268145,2,C,7.4,2023-09-25 14:38:37
3268143,2,C,15.9,2023-09-25 14:38:36
3268141,2,C,14.1,2023-09-25 14:38:35
3268139,2,C,13.9,2023-09-25 14:38:31
3268138,2,C,14,2023-09-25 14:38:30
3268137,2,C,12,2023-09-25 14:38:29
3268136,2,C,9.4,2023-09-25 14:38:27
3268135,2,C,8.8,2023-09-25 14:38:26
3268133,2,C,9.6,2023-09-25 14:38:25
3268131,2,C,13.6,2023-09-25 14:38:24
3268129,2,C,16.7,2023-09-25 14:38:23
3268127,2,C,12.9,2023-09-25 14:38:22
3268125,2,C,9.1,2023-09-25 14:38:20
3268123,2,C,11.3,2023-09-25 14:38:19
3268121,2,C,11.7,2023-09-25 14:38:18
3268119,2,C,9.9,2023-09-25 14:38:17
3268117,2,C,10.9,2023-09-25 14:38:16
3268115,2,C,13.1,2023-09-25 14:38:15
3268114,2,C,11.2,2023-09-25 14:38:13
3268113,2,C,6.2,2023-09-25 14:38:12
3268112,2,C,13.1,2023-09-25 14:38:11
3268110,2,C,10.9,2023-09-25 14:38:10
3268108,2,C,7.9,2023-09-25 14:38:09
3268106,2,C,10.7,2023-09-25 14:38:08
3268104,2,C,8.9,2023-09-25 14:38:07
3268102,2,C,10.1,2023-09-25 14:38:05
3268100,2,C,6.9,2023-09-25 14:38:04
3268098,2,C,9.8,2023-09-25 14:38:03
3268096,2,C,10.2,2023-09-25 14:38:02
3268095,2,C,13.4,2023-09-25 14:38:01
3268094,2,C,8.4,2023-09-25 14:38:00
3268093,2,C,9.5,2023-09-25 14:37:58
3268092,2,C,10.8,2023-09-25 14:37:57
3268091,2,C,14.6,2023-09-25 14:37:56
3268090,2,C,5.2,2023-09-25 14:37:55
3268089,2,C,8.8,2023-09-25 14:37:54
3268088,2,C,12.4,2023-09-25 14:37:53
3268086,2,C,10.8,2023-09-25 14:37:51
3268084,2,C,10.5,2023-09-25 14:37:50
3268083,2,C,8.6,2023-09-25 14:37:49
3268082,2,C,16.8,2023-09-25 14:37:48
3268081,2,C,16.2,2023-09-25 14:37:47
3268080,2,C,10.4,2023-09-25 14:37:46
3268079,2,C,12.3,2023-09-25 14:37:44
3268078,2,C,14.7,2023-09-25 14:37:43
3268077,2,C,8.4,2023-09-25 14:37:42
3268076,2,C,6.5,2023-09-25 14:37:41
3268075,2,C,14,2023-09-25 14:37:40
3268074,2,C,14.5,2023-09-25 14:37:38
3268073,2,C,7.9,2023-09-25 14:37:37
3268072,2,C,8.5,2023-09-25 14:37:36
3268071,2,C,16.7,2023-09-25 14:37:35
3268070,2,C,7.2,2023-09-25 14:37:34
3268069,2,C,10.4,2023-09-25 14:37:33
3268068,2,C,13.8,2023-09-25 14:37:32
3268067,2,C,10.2,2023-09-25 14:37:30
3268066,2,C,9.7,2023-09-25 14:37:29
3268065,2,C,7.2,2023-09-25 14:37:28
3268064,2,C,13,2023-09-25 14:37:27
3268063,2,C,6.2,2023-09-25 14:37:26
3268062,2,C,5.4,2023-09-25 14:37:24
3268061,2,C,11.8,2023-09-25 14:37:23
3268060,2,C,11.6,2023-09-25 14:37:22
3268059,2,C,13.5,2023-09-25 14:37:21
3268058,2,C,10.6,2023-09-25 14:37:20
3268057,2,C,12.5,2023-09-25 14:37:19
3268056,2,C,7.3,2023-09-25 14:37:17
3268055,2,C,13.3,2023-09-25 14:37:16
3268054,2,C,13.2,2023-09-25 14:37:15
3268053,2,C,9.3,2023-09-25 14:37:14
3268052,2,C,8.2,2023-09-25 14:37:13
3268051,2,C,18,2023-09-25 14:37:12
3268049,2,C,14.7,2023-09-25 14:37:11
3268047,2,C,19.1,2023-09-25 14:37:09
3268045,2,C,10,2023-09-25 14:37:08
3268043,2,C,8.5,2023-09-25 14:37:07
3268041,2,C,13,2023-09-25 14:37:06
3268039,2,C,11.6,2023-09-25 14:37:05
3268037,2,C,7.3,2023-09-25 14:37:04
3268035,2,C,15.6,2023-09-25 14:37:02
3268033,2,C,8.9,2023-09-25 14:37:01
3268031,2,C,8.3,2023-09-25 14:37:00
3268029,2,C,3.9,2023-09-25 14:36:59
3268027,2,C,11,2023-09-25 14:36:58
3268025,2,C,7.6,2023-09-25 14:36:57
3268023,2,C,6.9,2023-09-25 14:36:56
3268021,2,C,13.9,2023-09-25 14:36:54
3268019,2,C,7.3,2023-09-25 14:36:53
3268017,2,C,5.5,2023-09-25 14:36:52
3268015,2,C,3.6,2023-09-25 14:36:51
3268013,2,C,9.5,2023-09-25 14:36:50
3268011,2,C,14.4,2023-09-25 14:36:49
3268009,2,C,15.3,2023-09-25 14:36:48
3268007,2,C,11.7,2023-09-25 14:36:46
3268005,2,C,8.6,2023-09-25 14:36:45
3268003,2,C,10.8,2023-09-25 14:36:44
3268001,2,C,12,2023-09-25 14:36:43
3267999,2,C,11.1,2023-09-25 14:36:42
3267997,2,C,5,2023-09-25 14:36:41
3267995,2,C,11,2023-09-25 14:36:39
3267993,2,C,8.4,2023-09-25 14:36:38
3267992,2,C,7.9,2023-09-25 14:36:37
3267990,2,C,17.9,2023-09-25 14:36:36
3267987,2,C,51.8,2023-09-25 14:36:35
3267986,2,C,20,2023-09-25 14:36:34
3267984,2,C,8.9,2023-09-25 14:36:32
3267982,2,C,13.2,2023-09-25 14:36:31
3267980,2,C,7.5,2023-09-25 14:36:30
3267978,2,C,12.5,2023-09-25 14:36:29
3267976,2,C,9,2023-09-25 14:36:28
3267974,2,C,10.3,2023-09-25 14:36:27
3267972,2,C,10.7,2023-09-25 14:36:26
3267970,2,C,14.5,2023-09-25 14:36:24
3267968,2,C,9.6,2023-09-25 14:36:23
3267966,2,C,13.5,2023-09-25 14:36:22
3267964,2,C,14.7,2023-09-25 14:36:21
3267962,2,C,16.1,2023-09-25 14:36:20
3267961,2,C,3.8,2023-09-25 14:36:19
3267960,2,C,8.6,2023-09-25 14:36:18
3267959,2,C,14.1,2023-09-25 14:36:17
3267958,2,C,8.7,2023-09-25 14:36:15
3267957,2,C,7.2,2023-09-25 14:36:14
3267956,2,C,13.5,2023-09-25 14:36:13
3267955,2,C,10.4,2023-09-25 14:36:12
3267954,2,C,9,2023-09-25 14:36:11
3267953,2,C,13.2,2023-09-25 14:36:09
3267952,2,C,6.7,2023-09-25 14:36:08
3267951,2,C,3.8,2023-09-25 14:36:07
3267950,2,C,8.4,2023-09-25 14:36:06
3267949,2,C,10.5,2023-09-25 14:36:05
3267948,2,C,13.9,2023-09-25 14:36:04
3267947,2,C,14.7,2023-09-25 14:36:03
3267946,2,C,17.2,2023-09-25 14:36:01
3267945,2,C,10.3,2023-09-25 14:36:00
3267944,2,C,8.6,2023-09-25 14:35:59
3267943,2,C,13.3,2023-09-25 14:35:58
3267942,2,C,10.5,2023-09-25 14:35:57
3267941,2,C,12.1,2023-09-25 14:35:56
3267940,2,C,6.7,2023-09-25 14:35:54
3267939,2,C,13.6,2023-09-25 14:35:53
3267938,2,C,15,2023-09-25 14:35:52
3267937,2,C,16.1,2023-09-25 14:35:51
3267936,2,C,12.4,2023-09-25 14:35:50
3267935,2,C,11.2,2023-09-25 14:35:48
3267934,2,C,13.4,2023-09-25 14:35:47
3267933,2,C,14.7,2023-09-25 14:35:46
3267932,2,C,4.7,2023-09-25 14:35:45
3267931,2,C,11,2023-09-25 14:35:44
3267930,2,C,10.3,2023-09-25 14:35:43
3267929,2,C,12.5,2023-09-25 14:35:41
3267928,2,C,13.7,2023-09-25 14:35:40
3267927,2,C,7.4,2023-09-25 14:35:39
3267926,2,C,11.8,2023-09-25 14:35:38
3267925,2,C,10.8,2023-09-25 14:35:37
3267924,2,C,13.7,2023-09-25 14:35:36
3267923,2,C,10.4,2023-09-25 14:35:34
3267922,2,C,13.4,2023-09-25 14:35:33
3267921,2,C,10.7,2023-09-25 14:35:32
3267920,2,C,11.6,2023-09-25 14:35:31
3267919,2,C,14.3,2023-09-25 14:35:30
3267918,2,C,10.5,2023-09-25 14:35:28
3267917,2,C,11.7,2023-09-25 14:35:27
3267916,2,C,10.5,2023-09-25 14:35:26
3267915,2,C,11.2,2023-09-25 14:35:25
3267914,2,C,11.2,2023-09-25 14:35:24
3267913,2,C,10.8,2023-09-25 14:35:23
3267912,2,C,6.6,2023-09-25 14:35:21
3267911,2,C,12.8,2023-09-25 14:35:20
3267910,2,C,7.3,2023-09-25 14:35:19
3267909,2,C,7.9,2023-09-25 14:35:18
3267908,2,C,10.3,2023-09-25 14:35:17
3267907,2,C,14.9,2023-09-25 14:35:16
3267906,2,C,14.6,2023-09-25 14:35:14
3267905,2,C,10.3,2023-09-25 14:35:13
3267904,2,C,10.8,2023-09-25 14:35:12
3267903,2,C,9.6,2023-09-25 14:35:11
3267902,2,C,14.7,2023-09-25 14:35:10
3267901,2,C,11.8,2023-09-25 14:35:09
3267900,2,C,11.7,2023-09-25 14:35:07
3267899,2,C,9.7,2023-09-25 14:35:06
3267898,2,C,7.2,2023-09-25 14:35:05
3267897,2,C,12.5,2023-09-25 14:35:04
3267896,2,C,9.9,2023-09-25 14:35:03
3267895,2,C,11.3,2023-09-25 14:35:02
3267894,2,C,10.2,2023-09-25 14:35:00
3267893,2,C,10.8,2023-09-25 14:34:59
3267892,2,C,12.8,2023-09-25 14:34:58
3267891,2,C,14.3,2023-09-25 14:34:57
3267890,2,C,11.7,2023-09-25 14:34:56
3267889,2,C,12.4,2023-09-25 14:34:55
3267888,2,C,13.7,2023-09-25 14:34:53
3267887,2,C,16.1,2023-09-25 14:34:52
3267886,2,C,11.7,2023-09-25 14:34:51
3267885,2,C,8,2023-09-25 14:34:50
3267884,2,C,16.7,2023-09-25 14:34:49
3267883,2,C,4.5,2023-09-25 14:34:47
3267882,2,C,13.1,2023-09-25 14:34:46
3267881,2,C,16.5,2023-09-25 14:34:45
3267880,2,C,10.3,2023-09-25 14:34:44
3267879,2,C,7,2023-09-25 14:34:43
3267878,2,C,11.9,2023-09-25 14:34:42
3267877,2,C,13.7,2023-09-25 14:34:41
3267876,2,C,6,2023-09-25 14:34:39
3267875,2,C,10,2023-09-25 14:34:38
3267874,2,C,14.8,2023-09-25 14:34:37
3267873,2,C,8.8,2023-09-25 14:34:36
3267872,2,C,15.1,2023-09-25 14:34:35
3267871,2,C,10,2023-09-25 14:34:33
3267870,2,C,7.3,2023-09-25 14:34:32
3267869,2,C,9.3,2023-09-25 14:34:31
3267868,2,C,12.6,2023-09-25 14:34:30
3267867,2,C,16.1,2023-09-25 14:34:29
3267866,2,C,13.1,2023-09-25 14:34:28
3267865,2,C,12.4,2023-09-25 14:34:26
3267864,2,C,14.6,2023-09-25 14:34:25
3267863,2,C,14.2,2023-09-25 14:34:24
3267862,2,C,10.8,2023-09-25 14:34:23
3267861,2,C,13.3,2023-09-25 14:34:22
3267860,2,C,13.6,2023-09-25 14:34:21
3267859,2,C,10.7,2023-09-25 14:34:19
3267858,2,C,14.3,2023-09-25 14:34:18
3267857,2,C,12.3,2023-09-25 14:34:17
3267856,2,C,10.2,2023-09-25 14:34:16
3267855,2,C,18.3,2023-09-25 14:34:15
3267854,2,C,14.1,2023-09-25 14:34:14
3267853,2,C,14,2023-09-25 14:34:12
3267852,2,C,8.3,2023-09-25 14:34:11
3267851,2,C,13.5,2023-09-25 14:34:10
3267850,2,C,12.2,2023-09-25 14:34:09
3267849,2,C,15.6,2023-09-25 14:34:08
3267848,2,C,14.9,2023-09-25 14:34:07
3267847,2,C,12.5,2023-09-25 14:34:05
3267846,2,C,14.1,2023-09-25 14:34:04
3267845,2,C,14.2,2023-09-25 14:34:03
3267844,2,C,14.4,2023-09-25 14:34:02
3267843,2,C,11.6,2023-09-25 14:34:01
3267842,2,C,7.3,2023-09-25 14:34:00
3267841,2,C,13,2023-09-25 14:33:58
3267840,2,C,8.2,2023-09-25 14:33:57
3267839,2,C,14.3,2023-09-25 14:33:56
3267838,2,C,12.4,2023-09-25 14:33:55
3267837,2,C,13.5,2023-09-25 14:33:54
3267836,2,C,12.1,2023-09-25 14:33:53
3267835,2,C,13.8,2023-09-25 14:33:52
3267834,2,C,11.7,2023-09-25 14:33:50
3267833,2,C,11.6,2023-09-25 14:33:49
3267832,2,C,11.2,2023-09-25 14:33:48
3267831,2,C,12.7,2023-09-25 14:33:47
3267830,2,C,12.3,2023-09-25 14:33:46
3267829,2,C,11.8,2023-09-25 14:33:44
3267828,2,C,10,2023-09-25 14:33:43
3267827,2,C,7,2023-09-25 14:33:42
3267826,2,C,10.3,2023-09-25 14:33:41
3267825,2,C,10.5,2023-09-25 14:33:40
3267824,2,C,16.8,2023-09-25 14:33:38
3267823,2,C,17.2,2023-09-25 14:33:37
3267822,2,C,9.9,2023-09-25 14:33:36
3267821,2,C,11.9,2023-09-25 14:33:35
3267820,2,C,6.5,2023-09-25 14:33:34
3267819,2,C,15.5,2023-09-25 14:33:32
3267818,2,C,12.7,2023-09-25 14:33:31
3267817,2,C,12.5,2023-09-25 14:33:30
3267816,2,C,14.7,2023-09-25 14:33:29
3267815,2,C,12.8,2023-09-25 14:33:28
3267814,2,C,13,2023-09-25 14:33:27
3267813,2,C,7,2023-09-25 14:33:25
3267812,2,C,12.2,2023-09-25 14:33:24
3267811,2,C,11.6,2023-09-25 14:33:23
3267810,2,C,10.4,2023-09-25 14:33:22
3267809,2,C,12.5,2023-09-25 14:33:21
3267808,2,C,14.7,2023-09-25 14:33:20
3267807,2,C,12.6,2023-09-25 14:33:18
3267806,2,C,13.6,2023-09-25 14:33:17
3267805,2,C,10.9,2023-09-25 14:33:16
3267804,2,C,13.6,2023-09-25 14:33:15
3267803,2,C,15,2023-09-25 14:33:14
3267802,2,C,13,2023-09-25 14:33:12
3267801,2,C,6.9,2023-09-25 14:33:11
3267800,2,C,14.8,2023-09-25 14:33:10
3267799,2,C,11.4,2023-09-25 14:33:09
3267798,2,C,13.2,2023-09-25 14:33:08
3267797,2,C,11,2023-09-25 14:33:07
3267796,2,C,13.2,2023-09-25 14:33:05
3267795,2,C,10.9,2023-09-25 14:33:04
3267794,2,C,15.5,2023-09-25 14:33:03
3267793,2,C,12.1,2023-09-25 14:33:02
3267792,2,C,13.7,2023-09-25 14:33:01
3267791,2,C,7.3,2023-09-25 14:33:00
3267790,2,C,16.3,2023-09-25 14:32:58
3267789,2,C,13.3,2023-09-25 14:32:57
3267788,2,C,10.2,2023-09-25 14:32:56
3267787,2,C,12.7,2023-09-25 14:32:55
3267786,2,C,11.1,2023-09-25 14:32:54
3267785,2,C,9.6,2023-09-25 14:32:52
3267784,2,C,14.3,2023-09-25 14:32:51
3267783,2,C,15.2,2023-09-25 14:32:50
3267782,2,C,11.6,2023-09-25 14:32:49
3267781,2,C,14.4,2023-09-25 14:32:48
3267780,2,C,13,2023-09-25 14:32:46
3267779,2,C,17.5,2023-09-25 14:32:45
3267778,2,C,10.6,2023-09-25 14:32:44
3267777,2,C,8.2,2023-09-25 14:32:43
3267776,2,C,20.3,2023-09-25 14:32:41
3267775,2,C,16.4,2023-09-25 14:32:40
3267774,2,C,14.3,2023-09-25 14:32:39
3267773,2,C,16.5,2023-09-25 14:32:38
3267772,2,C,11.9,2023-09-25 14:32:36
3267771,2,C,15.4,2023-09-25 14:32:35
3267770,2,C,13.2,2023-09-25 14:32:34
3267769,2,C,15.2,2023-09-25 14:32:33
3267768,2,C,19,2023-09-25 14:32:32
3267767,2,C,15.7,2023-09-25 14:32:31
3267766,2,C,11.4,2023-09-25 14:32:29
3267765,2,C,13.8,2023-09-25 14:32:28
3267764,2,C,12.6,2023-09-25 14:32:27
3267763,2,C,15.4,2023-09-25 14:32:26
3267762,2,C,15.6,2023-09-25 14:32:24
3267761,2,C,17.5,2023-09-25 14:32:23
3267760,2,C,14.5,2023-09-25 14:32:22
3267759,2,C,10.4,2023-09-25 14:32:21
3267758,2,C,16.5,2023-09-25 14:32:20
3267757,2,C,14.4,2023-09-25 14:32:18
3267756,2,C,12.4,2023-09-25 14:32:17
3267755,2,C,12.6,2023-09-25 14:32:16
3267754,2,C,7.1,2023-09-25 14:32:15
3267753,2,C,14.1,2023-09-25 14:32:14
3267752,2,C,10.3,2023-09-25 14:32:12
3267751,2,C,13.1,2023-09-25 14:32:11
3267750,2,C,11.7,2023-09-25 14:32:10
3267749,2,C,11.8,2023-09-25 14:32:09
3267748,2,C,20.5,2023-09-25 14:32:08
3267747,2,C,10.8,2023-09-25 14:32:06
3267746,2,C,11.6,2023-09-25 14:32:05
3267745,2,C,14.5,2023-09-25 14:32:04
3267744,2,C,15.1,2023-09-25 14:32:03
3267743,2,C,14.4,2023-09-25 14:32:02
3267742,2,C,12.3,2023-09-25 14:32:00
3267741,2,C,12.9,2023-09-25 14:31:59
3267740,2,C,11.7,2023-09-25 14:31:58
3267739,2,C,10.3,2023-09-25 14:31:57
3267738,2,C,11.2,2023-09-25 14:31:55
3267737,2,C,10.4,2023-09-25 14:31:54
3267736,2,C,14.2,2023-09-25 14:31:53
3267735,2,C,15.6,2023-09-25 14:31:52
