iter	Passed	Remaining
442	1227	1543
443	1229	1540
444	1232	1536
445	1234	1533
446	1236	1530
447	1239	1526
448	1241	1523
449	1243	1520
450	1246	1517
451	1249	1514
452	1252	1511
453	1254	1508
454	1257	1506
455	1260	1503
456	1262	1500
457	1265	1497
458	1268	1494
459	1270	1491
460	1272	1488
461	1275	1484
462	1277	1481
463	1280	1478
464	1282	1475
465	1284	1472
466	1286	1468
467	1289	1466
468	1292	1462
469	1294	1459
470	1297	1456
471	1299	1453
472	1301	1450
473	1304	1447
474	1306	1444
475	1308	1440
476	1311	1437
477	1313	1434
478	1315	1431
479	1318	1428
480	1320	1425
481	1323	1421
482	1325	1418
483	1328	1415
484	1330	1412
485	1332	1409
486	1335	1406
487	1337	1403
488	1340	1400
489	1342	1397
490	1345	1394
491	1348	1392
492	1351	1389
493	1353	1386
494	1356	1383
495	1358	1380
496	1360	1377
497	1363	1374
498	1365	1371
499	1368	1368
500	1371	1365
501	1373	1362
502	1375	1359
503	1378	1356
504	1380	1353
505	1382	1350
506	1385	1347
507	1387	1344
508	1390	1341
509	1392	1338
510	1395	1335
511	1398	1332
512	1401	1330
513	1403	1326
514	1405	1323
515	1408	1321
516	1411	1318
517	1413	1315
518	1415	1312
519	1418	1309
520	1420	1306
521	1423	1303
522	1426	1300
523	1428	1297
524	1431	1295
525	1434	1292
526	1436	1289
527	1439	1287
528	1442	1284
529	1445	1281
530	1448	1278
531	1450	1275
532	1452	1273
533	1455	1269
534	1457	1266
535	1459	1263
536	1462	1260
537	1464	1257
538	1466	1254
539	1469	1251
540	1471	1248
541	1473	1245
542	1476	1242
543	1478	1239
544	1480	1236
545	1483	1233
546	1486	1230
547	1488	1227
548	1490	1224
549	1493	1221
550	1495	1218
551	1498	1215
552	1500	1212
553	1502	1209
554	1505	1206
555	1507	1203
556	1509	1200
557	1512	1197
558	1514	1194
559	1517	1191
560	1519	1189
561	1521	1186
562	1524	1183
563	1526	1180
564	1529	1177
565	1531	1174
566	1534	1171
567	1536	1168
568	1538	1165
569	1540	1162
570	1543	1159
571	1546	1157
572	1548	1154
573	1551	1151
574	1553	1148
575	1555	1145
576	1558	1142
577	1561	1139
578	1563	1136
579	1565	1133
580	1568	1130
581	1570	1127
582	1573	1125
583	1575	1122
584	1578	1119
585	1580	1116
586	1582	1113
587	1585	1110
588	1587	1107
589	1589	1104
590	1592	1102
591	1595	1099
592	1597	1096
593	1599	1093
594	1602	1090
595	1605	1088
596	1607	1085
597	1610	1082
598	1613	1079
599	1615	1077
600	1618	1074
601	1621	1071
602	1624	1069
603	1626	1066
604	1628	1063
605	1631	1060
606	1633	1057
607	1636	1054
608	1638	1051
609	1640	1049
610	1643	1046
611	1645	1043
612	1647	1040
613	1650	1037
614	1652	1034
615	1654	1031
616	1657	1028
617	1659	1025
618	1661	1022
619	1664	1020
620	1666	1017
621	1669	1014
622	1671	1011
623	1674	1008
624	1676	1005
625	1678	1003
626	1681	1000
627	1683	997
628	1686	994
629	1688	991
630	1690	988
631	1693	985
632	1695	983
633	1698	980
634	1700	977
635	1702	974
636	1705	971
637	1707	968
638	1710	966
639	1712	963
640	1714	960
641	1717	957
642	1719	954
643	1722	951
644	1724	949
645	1726	946
646	1729	943
647	1731	940
648	1733	937
649	1736	934
650	1738	932
651	1741	929
652	1743	926
653	1745	923
654	1748	920
655	1750	918
656	1753	915
657	1755	912
658	1757	909
659	1760	906
660	1762	903
661	1764	900
