Date,High,Low,Open,Close,Volume,Adj Close,Price
2020-12-30,2878.2099609375,2809.35009765625,2820.360107421875,2873.469970703125,1074000,2873.469970703125,1
2021-01-04,2946.5400390625,2869.110107421875,2874.5,2944.449951171875,1026500,2944.449951171875,1
2021-01-05,2990.570068359375,2921.840087890625,2943.669921875,2990.570068359375,1519900,2990.570068359375,0
2021-01-06,3027.159912109375,2961.3701171875,2993.340087890625,2968.2099609375,1793400,2968.2099609375,1
2021-01-07,3055.280029296875,2980.75,2980.75,3031.679931640625,1524700,3031.679931640625,1
2021-01-08,3161.110107421875,3040.110107421875,3040.110107421875,3152.179931640625,1297900,3152.179931640625,0
2021-01-11,3266.22998046875,3096.18994140625,3161.89990234375,3148.449951171875,1712500,3148.449951171875,0
2021-01-12,3154.7900390625,3047.56005859375,3145.8701171875,3125.949951171875,1388600,3125.949951171875,1
2021-01-13,3164.3701171875,3109.6298828125,3128.260009765625,3148.2900390625,1578000,3148.2900390625,1
2021-01-14,3159.030029296875,3128.719970703125,3148.64990234375,3149.929931640625,1233200,3149.929931640625,0
2021-01-15,3189.89990234375,3085.89990234375,3153.840087890625,3085.89990234375,1331100,3085.89990234375,0
2021-01-18,3079.89990234375,3003.889892578125,3079.89990234375,3013.929931640625,1472000,3013.929931640625,1
2021-01-19,3092.659912109375,3013.050048828125,3013.050048828125,3092.659912109375,1353300,3092.659912109375,1
2021-01-20,3145.010009765625,3077.14990234375,3115.0400390625,3114.550048828125,1192700,3114.550048828125,1
2021-01-21,3163.2099609375,3123.27001953125,3123.27001953125,3160.840087890625,1360100,3160.840087890625,0
2021-01-22,3185.260009765625,3140.60009765625,3163.830078125,3140.6298828125,1111200,3140.6298828125,1
2021-01-25,3212.219970703125,3142.800048828125,3144.010009765625,3208.989990234375,1093700,3208.989990234375,0
2021-01-26,3209.179931640625,3132.669921875,3203.9599609375,3140.31005859375,873000,3140.31005859375,0
2021-01-27,3182.530029296875,3118.889892578125,3143.4599609375,3122.56005859375,924600,3122.56005859375,0
2021-01-28,3114.97998046875,3046.639892578125,3114.97998046875,3069.050048828125,1310500,3069.050048828125,0
2021-01-29,3100.219970703125,2962.699951171875,3078.72998046875,2976.2099609375,995100,2976.2099609375,1
2021-02-01,3056.8701171875,2947.239990234375,2976.81005859375,3056.530029296875,969300,3056.530029296875,1
2021-02-02,3138.949951171875,3065.56005859375,3065.56005859375,3096.81005859375,887300,3096.81005859375,1
2021-02-03,3142.260009765625,3091.85009765625,3108.419921875,3129.679931640625,901800,3129.679931640625,0
2021-02-04,3135.02001953125,3068.4599609375,3135.02001953125,3087.550048828125,1460900,3087.550048828125,1
2021-02-05,3124.6201171875,3081.780029296875,3098.489990234375,3120.6298828125,1193500,3120.6298828125,0
2021-02-08,3128.5400390625,3085.590087890625,3113.6298828125,3091.239990234375,1277200,3091.239990234375,0
2021-02-09,3129.659912109375,3084.669921875,3102.25,3084.669921875,2145400,3084.669921875,1
2021-02-10,3111.8798828125,3064.25,3088.1298828125,3100.580078125,2152900,3100.580078125,1
2021-02-15,3156.56005859375,3108.699951171875,3108.699951171875,3147.0,1604700,3147.0,1
2021-02-16,3180.93994140625,3145.840087890625,3151.85009765625,3163.25,1944400,3163.25,0
2021-02-17,3162.949951171875,3115.47998046875,3162.949951171875,3133.72998046875,1784100,3133.72998046875,0
2021-02-18,3140.39990234375,3086.659912109375,3131.739990234375,3086.659912109375,1860600,3086.659912109375,1
2021-02-19,3109.669921875,3040.280029296875,3089.9599609375,3107.6201171875,3455500,3107.6201171875,0
2021-02-22,3142.47998046875,3079.159912109375,3114.030029296875,3079.75,1832000,3079.75,0
2021-02-23,3094.2900390625,3035.4599609375,3069.260009765625,3070.090087890625,2357800,3070.090087890625,0
2021-02-24,3092.050048828125,2993.4599609375,3070.580078125,2994.97998046875,1560900,2994.97998046875,1
2021-02-25,3099.800048828125,3026.469970703125,3026.469970703125,3099.68994140625,1280100,3099.68994140625,0
2021-02-26,3089.489990234375,2988.280029296875,3089.489990234375,3012.949951171875,1361300,3012.949951171875,1
2021-03-02,3096.5,3020.739990234375,3021.679931640625,3043.8701171875,1749900,3043.8701171875,1
2021-03-03,3083.0400390625,3029.3701171875,3041.199951171875,3082.989990234375,2236700,3082.989990234375,0
2021-03-04,3076.8798828125,3022.5400390625,3076.8798828125,3043.489990234375,1279000,3043.489990234375,0
2021-03-05,3036.97998046875,2982.449951171875,3036.159912109375,3026.260009765625,1187200,3026.260009765625,0
2021-03-08,3055.64990234375,2992.639892578125,3031.989990234375,2996.110107421875,1928300,2996.110107421875,0
2021-03-09,3000.489990234375,2929.360107421875,2989.9599609375,2976.1201171875,1534200,2976.1201171875,0
2021-03-10,3013.949951171875,2951.530029296875,2980.760009765625,2958.1201171875,905600,2958.1201171875,1
2021-03-11,3028.3701171875,2964.300048828125,2964.300048828125,3013.699951171875,1349200,3013.699951171875,1
2021-03-12,3061.429931640625,3030.72998046875,3030.72998046875,3054.389892578125,1669100,3054.389892578125,0
2021-03-15,3065.169921875,3036.139892578125,3057.06005859375,3045.7099609375,1161800,3045.7099609375,1
2021-03-16,3071.5400390625,3049.22998046875,3049.22998046875,3067.169921875,1123900,3067.169921875,0
2021-03-17,3069.570068359375,3027.199951171875,3067.760009765625,3047.5,815000,3047.5,1
2021-03-18,3090.18994140625,3054.929931640625,3054.929931640625,3066.010009765625,1232600,3066.010009765625,0
2021-03-19,3063.010009765625,3022.489990234375,3063.010009765625,3039.530029296875,1068500,3039.530029296875,0
2021-03-22,3048.110107421875,3019.60009765625,3040.010009765625,3035.4599609375,915700,3035.4599609375,0
2021-03-23,3058.7900390625,3003.050048828125,3038.25,3004.739990234375,1331200,3004.739990234375,0
2021-03-24,3006.5400390625,2971.0400390625,2996.320068359375,2996.35009765625,978400,2996.35009765625,1
2021-03-25,3024.6298828125,2987.830078125,2995.669921875,3008.330078125,940400,3008.330078125,1
2021-03-26,3041.860107421875,3012.7900390625,3012.7900390625,3041.010009765625,1036400,3041.010009765625,0
2021-03-29,3054.2099609375,3025.389892578125,3047.7099609375,3036.0400390625,1288800,3036.0400390625,1
2021-03-30,3074.570068359375,3038.43994140625,3038.43994140625,3070.0,1023100,3070.0,0
2021-03-31,3093.889892578125,3061.39990234375,3073.389892578125,3061.419921875,1147000,3061.419921875,1
2021-04-01,3090.8798828125,3069.679931640625,3073.77001953125,3087.39990234375,922700,3087.39990234375,1
2021-04-02,3121.580078125,3101.60009765625,3104.719970703125,3112.800048828125,792700,3112.800048828125,1
2021-04-05,3127.199951171875,3101.860107421875,3121.22998046875,3120.830078125,1084800,3120.830078125,1
2021-04-06,3139.2900390625,3110.18994140625,3123.800048828125,3127.080078125,1279000,3127.080078125,1
2021-04-07,3146.18994140625,3125.330078125,3129.070068359375,3137.409912109375,1984800,3137.409912109375,1
2021-04-08,3145.81005859375,3122.090087890625,3137.25,3143.260009765625,1357300,3143.260009765625,0
2021-04-09,3156.0400390625,3125.239990234375,3146.510009765625,3131.8798828125,1823200,3131.8798828125,1
2021-04-12,3147.27001953125,3127.909912109375,3134.8798828125,3135.590087890625,1048800,3135.590087890625,1
2021-04-13,3173.260009765625,3136.989990234375,3138.2099609375,3169.080078125,1741300,3169.080078125,1
2021-04-14,3188.320068359375,3162.1201171875,3169.949951171875,3182.3798828125,1776300,3182.3798828125,1
2021-04-15,3204.47998046875,3178.989990234375,3180.72998046875,3194.330078125,1313000,3194.330078125,1
2021-04-16,3206.760009765625,3185.669921875,3194.080078125,3198.6201171875,985300,3198.6201171875,1
