,날짜,언론사,기사제목,링크
0, 2022.01.21 09:41,한국경제,美 기술주 투매 현상에…삼성전자·SK하이닉스도 약세,https://finance.naver.com/item/news_read.naver?article_id=0004655561&office_id=015&code=005930&page=2&sm=
1, 2022.01.21 09:30,조선비즈,[특징주] 삼성전자·SK하이닉스 나란히 약세…마이크론 주가 급락,https://finance.naver.com/item/news_read.naver?article_id=0000788753&office_id=366&code=005930&page=2&sm=
2, 2022.01.21 09:15,이데일리,"[특징주]삼성전자, 외국계 순매도세에 ‘약세’",https://finance.naver.com/item/news_read.naver?article_id=0005131261&office_id=018&code=005930&page=2&sm=
3, 2022.01.21 09:09,파이낸셜뉴스,"2월에 삼성 갤S22 온다…""울트라 경험, 역대급"" 노태문, 언팩 예고",https://finance.naver.com/item/news_read.naver?article_id=0004776085&office_id=014&code=005930&page=2&sm=
4, 2022.01.21 05:55,머니투데이,"4년 후 42.8조 시장으로 큰다...삼성·LG, '사이니지' 대전",https://finance.naver.com/item/news_read.naver?article_id=0004699004&office_id=008&code=005930&page=2&sm=
5, 2022.01.20 22:21,헤럴드경제,“100만원에 이걸 누가 사?” 삼성·LG도 ‘깜짝’ 놀랐다,https://finance.naver.com/item/news_read.naver?article_id=0001940554&office_id=016&code=005930&page=2&sm=
6, 2022.01.20 22:02,한국경제,러시아서 휴대폰·가전 1위인데…삼성·LG에 불똥 튈라 '초긴장',https://finance.naver.com/item/news_read.naver?article_id=0004655477&office_id=015&code=005930&page=2&sm=
7, 2022.01.20 18:12,서울경제,"美, 러 반도체 수출제한 준비···삼성·SK '제2 화웨이 사태' 우려",https://finance.naver.com/item/news_read.naver?article_id=0004010625&office_id=011&code=005930&page=2&sm=
8, 2022.01.20 18:10,서울경제,"삼성, 인텔 제치고 '반도체 1위' 탈환···작년 매출 90조·시장점유...",https://finance.naver.com/item/news_read.naver?article_id=0004010621&office_id=011&code=005930&page=2&sm=
9, 2022.01.20 15:48,머니투데이,"'이재용의 삼성'의 기적…반도체 42위→1위로, 인텔도 무릎 꿇었다",https://finance.naver.com/item/news_read.naver?article_id=0004698812&office_id=008&code=005930&page=2&sm=
10, 2022.01.20 14:27,이데일리,"삼성, 인텔 제치고 '반도체 왕좌' 탈환…2018년 이후 3년만",https://finance.naver.com/item/news_read.naver?article_id=0005130788&office_id=018&code=005930&page=2&sm=
11, 2022.01.20 13:46,매일경제,"삼성, 인텔 제치고 '반도체 왕좌' 3년 만에 탈환…매출 90조↑",https://finance.naver.com/item/news_read.naver?article_id=0004911540&office_id=009&code=005930&page=2&sm=
12, 2022.01.20 11:52,서울경제,가트너 “지난해 삼성전자 반도체 매출 세계 1위 달성할 것”,https://finance.naver.com/item/news_read.naver?article_id=0004010355&office_id=011&code=005930&page=2&sm=
13, 2022.01.20 11:12,아시아경제,"가트너 ""삼성, 3년 만에 인텔 제치고 작년 세계 반도체 매출 1위 ...",https://finance.naver.com/item/news_read.naver?article_id=0005033309&office_id=277&code=005930&page=2&sm=
14, 2022.01.20 11:04,한국경제,"이재용, 반도체 '꿈의 1위' 올랐다…가트너 ""삼성이 인텔 제쳐""",https://finance.naver.com/item/news_read.naver?article_id=0004655162&office_id=015&code=005930&page=2&sm=
15, 2022.01.20 10:58,서울경제,"이재용이 해냈다···삼성, 인텔 체치고 '반도체 왕' 탈환",https://finance.naver.com/item/news_read.naver?article_id=0004010314&office_id=011&code=005930&page=2&sm=
16, 2022.01.20 17:43,파이낸셜뉴스,3년만에 인텔 제친 삼성전자... 작년 반도체 매출 '세계 1위',https://finance.naver.com/item/news_read.naver?article_id=0004775836&office_id=014&code=005930&page=2&sm=
17, 2022.01.20 15:34,파이낸셜뉴스,"삼성전자, 인텔 제치고 3년 만에 반도체 매출 1위 탈환",https://finance.naver.com/item/news_read.naver?article_id=0004775730&office_id=014&code=005930&page=2&sm=
18, 2022.01.20 11:57,헤럴드경제,삼성전자 3년만에 ‘반도체 왕좌’ 탈환했다,https://finance.naver.com/item/news_read.naver?article_id=0001940341&office_id=016&code=005930&page=2&sm=
19, 2022.01.20 10:23,헤럴드경제,“인텔 제쳤다”…삼성전자 3년 만에 ‘반도체 왕좌’ 탈환,https://finance.naver.com/item/news_read.naver?article_id=0001940179&office_id=016&code=005930&page=2&sm=
