,날짜,언론사,기사제목,링크
0, 2022.01.20 08:42,머니투데이,와이지엔터 4분기 영업이익 컨센서스 하회…목표가↓-삼성,https://finance.naver.com/item/news_read.naver?article_id=0004698518&office_id=008&code=005930&page=4&sm=
1, 2022.01.20 08:25,이데일리,"[뉴스+]CES최고상 받고도 못 봤던 삼성 QD-OLED TV, 4월 ...",https://finance.naver.com/item/news_read.naver?article_id=0005130372&office_id=018&code=005930&page=4&sm=
2, 2022.01.20 08:03,이데일리,"에스엠, NCT·에스파 성과 뚜렷…메타버스 사업 주목-삼성",https://finance.naver.com/item/news_read.naver?article_id=0005130357&office_id=018&code=005930&page=4&sm=
3, 2022.01.20 06:01,조선비즈,"삼성·현대 비중 줄여라… 제일기획·이노션, M&A로 몸집 불리기",https://finance.naver.com/item/news_read.naver?article_id=0000788427&office_id=366&code=005930&page=4&sm=
4, 2022.01.19 21:02,한국경제,"아이폰 중국서 '불티'…애플, 삼성 제치고 점유율 1위 등극",https://finance.naver.com/item/news_read.naver?article_id=0004655008&office_id=015&code=005930&page=4&sm=
5, 2022.01.19 10:11,머니투데이,"중국 '아이폰 사랑'이 해냈다…애플, 삼성 제치고 세계 1위",https://finance.naver.com/item/news_read.naver?article_id=0004698057&office_id=008&code=005930&page=4&sm=
6, 2022.01.19 09:43,이데일리,"‘아이폰13’의 힘…삼성폰, 애플에 1위 내줬다",https://finance.naver.com/item/news_read.naver?article_id=0005129646&office_id=018&code=005930&page=4&sm=
7, 2022.01.19 19:38,서울경제,"삼성전자, 전세계 스마트폰 판매 1위···""애플 제쳤다""",https://finance.naver.com/item/news_read.naver?article_id=0004010141&office_id=011&code=005930&page=4&sm=
8, 2022.01.19 19:27,한국경제,"삼성전자, 지난해 스마트폰 판매 1위…근소한 차이로 애플 제쳤다",https://finance.naver.com/item/news_read.naver?article_id=0004654996&office_id=015&code=005930&page=4&sm=
9, 2022.01.19 18:55,머니투데이,"삼성·SK도 줄서는 ASML, 작년 최대실적 냈다…순이익 66%↑",https://finance.naver.com/item/news_read.naver?article_id=0004698399&office_id=008&code=005930&page=4&sm=
10, 2022.01.19 16:07,헤럴드경제,“삼성도 여기 없으면 안 돼” 초미세공정 장비 판매하는 ‘이 기업’ ...,https://finance.naver.com/item/news_read.naver?article_id=0001939885&office_id=016&code=005930&page=4&sm=
11, 2022.01.19 17:37,파이낸셜뉴스,"삼성 ‘대형’ LGD ‘중소형’… 올레드 시장 ""경쟁사 텃밭 잡아라""",https://finance.naver.com/item/news_read.naver?article_id=0004775104&office_id=014&code=005930&page=4&sm=
12, 2022.01.19 17:37,비즈니스워치,"'52조 투자' TSMC, 추격 나선 삼성…반도체 경쟁 '후끈'",https://finance.naver.com/item/news_read.naver?article_id=0000005973&office_id=648&code=005930&page=4&sm=
13, 2022.01.19 14:07,한국경제,"'수십조' 반도체 쩐의 전쟁…본격 추격 삼성 vs TSMC ""따라와봐...",https://finance.naver.com/item/news_read.naver?article_id=0004654730&office_id=015&code=005930&page=4&sm=
14, 2022.01.19 16:24,조세일보,"삼성효과 기대 '한화 포레나 천안노태', 24일 특별공급",https://finance.naver.com/item/news_read.naver?article_id=0002265141&office_id=123&code=005930&page=4&sm=
