,날짜,언론사,기사제목,링크
0, 2022.01.19 06:01,서울경제,"2년간 삼성그룹에 준법경영 전파한 김지형, 떠나며 남긴 말 “JY는 확...",https://finance.naver.com/item/news_read.naver?article_id=0004009684&office_id=011&code=005930&page=6&sm=
1, 2022.01.18 20:09,한국경제,딱 1분 만에 끝…삼성 '더 프리스타일' 2차 예판도 완판 [영상],https://finance.naver.com/item/news_read.naver?article_id=0004654496&office_id=015&code=005930&page=6&sm=
2, 2022.01.18 18:08,파이낸셜뉴스,"삼성청년SW아카데미, 7기 1150명 입학 ‘최대’",https://finance.naver.com/item/news_read.naver?article_id=0004774362&office_id=014&code=005930&page=6&sm=
3, 2022.01.18 15:03,이데일리,삼성청년SW아카데미 7기 입학식…교육생 1150명 역대 최다,https://finance.naver.com/item/news_read.naver?article_id=0005129122&office_id=018&code=005930&page=6&sm=
4, 2022.01.18 14:01,파이낸셜뉴스,"삼성청년SW아카데미, 7기 1150명 입학..역대 최대",https://finance.naver.com/item/news_read.naver?article_id=0004774086&office_id=014&code=005930&page=6&sm=
5, 2022.01.18 14:00,아시아경제,"삼성, '청년SW아카데미' 7기 입학식 개최…""1150명 최대 규모""",https://finance.naver.com/item/news_read.naver?article_id=0005032232&office_id=277&code=005930&page=6&sm=
6, 2022.01.18 18:07,이코노미스트,"김지형 삼성 준법위원장 ""CEO 의지로 '준법경영' 조직·제도 구축해야...",https://finance.naver.com/item/news_read.naver?article_id=0000021635&office_id=243&code=005930&page=6&sm=
7, 2022.01.18 15:00,머니투데이,"떠나는 첫 삼성 준법위원장 ""CEO 확고한 의지가 중요""",https://finance.naver.com/item/news_read.naver?article_id=0004697668&office_id=008&code=005930&page=6&sm=
8, 2022.01.18 17:58,헤럴드경제,“삼성 토론회에 ‘멸공’이 왜 나와”…‘용진이형’ 언급 이유보니,https://finance.naver.com/item/news_read.naver?article_id=0001939343&office_id=016&code=005930&page=6&sm=
9, 2022.01.18 17:49,이데일리,"[줌인]""실패는 성공의 과정""…물러나는 김지형이 삼성에 남긴 것",https://finance.naver.com/item/news_read.naver?article_id=0005129315&office_id=018&code=005930&page=6&sm=
10, 2022.01.18 17:43,한국경제,삼성전자 SSAFY 7기 1150명 입학…1~5기 취업률 79%,https://finance.naver.com/item/news_read.naver?article_id=0004654399&office_id=015&code=005930&page=6&sm=
11, 2022.01.18 14:01,헤럴드경제,“이재용이 직접 챙겼더니” 삼성·네이버·카카오 취업문 활짝 연 ‘이곳...,https://finance.naver.com/item/news_read.naver?article_id=0001939229&office_id=016&code=005930&page=6&sm=
12, 2022.01.18 17:33,매일경제,갤럭시폰 새 두뇌 나왔다…삼성·AMD 공동개발,https://finance.naver.com/item/news_read.naver?article_id=0004910667&office_id=009&code=005930&page=6&sm=
13, 2022.01.18 15:45,이코노미스트,"삼성, 스마트폰 새 두뇌 '엑시노스 2200' 공개...모바일 AP경...",https://finance.naver.com/item/news_read.naver?article_id=0000021620&office_id=243&code=005930&page=6&sm=
14, 2022.01.18 17:24,한국경제,'패션 브랜드 200개' 삼성 맞먹는 큰손…'은둔 회장님'의 정체,https://finance.naver.com/item/news_read.naver?article_id=0004654365&office_id=015&code=005930&page=6&sm=
15, 2022.01.18 17:07,한국경제,"삼성 새 모바일AP…""휴대폰 게임 한계 넘었다""",https://finance.naver.com/item/news_read.naver?article_id=0004654329&office_id=015&code=005930&page=6&sm=
16, 2022.01.18 15:31,파이낸셜뉴스,"[김경민의 적시타]갤럭시 두뇌, 삼성 '엑시노스 2200'은 왜 갑자...",https://finance.naver.com/item/news_read.naver?article_id=0004774178&office_id=014&code=005930&page=6&sm=
17, 2022.01.18 11:23,헤럴드경제,"“스마트폰에서도 콘솔수준 게임을”…삼성, 그래픽 키운 모바일 칩 출시",https://finance.naver.com/item/news_read.naver?article_id=0001939122&office_id=016&code=005930&page=6&sm=
18, 2022.01.18 11:02,헤럴드경제,"“휴대폰에서 콘솔 수준 게임을” 삼성, 그래픽 확 키운 모바일 칩 출...",https://finance.naver.com/item/news_read.naver?article_id=0001939056&office_id=016&code=005930&page=6&sm=
