,날짜,언론사,기사제목,링크
0, 2022.01.01 04:10,머니투데이,"[2022 증시]""삼성전자와 함께 뜰 주식""…전문가가 콕 찍은 종목들",https://finance.naver.com/item/news_read.naver?article_id=0004690569&office_id=008&code=005930&page=74&sm=
1, 2021.12.31 22:18,매일경제,"""고맙다 삼성. 덕분에 '타도 벤츠'""…제네시스, '별들의 전쟁' 승기...",https://finance.naver.com/item/news_read.naver?article_id=0004902520&office_id=009&code=005930&page=74&sm=
2, 2021.12.31 21:05,이데일리,"(영상)삼성 비스포크, 美시장 홀릴까?..“현지 호평 이어져”",https://finance.naver.com/item/news_read.naver?article_id=0005117826&office_id=018&code=005930&page=74&sm=
3, 2021.12.31 17:34,서울경제,"삼성, 신사업 M&A 추진···현대차는 中점유율 확대",https://finance.naver.com/item/news_read.naver?article_id=0004003041&office_id=011&code=005930&page=74&sm=
4, 2021.12.31 17:20,조선비즈,‘30대 임원·40대 사장’ 삼성전자 인사제도 60% 동의… 내년 시행,https://finance.naver.com/item/news_read.naver?article_id=0000784222&office_id=366&code=005930&page=74&sm=
5, 2021.12.31 16:33,한국경제,삼성 '새 인사개편안' 직원 60%이상 동의…새해 시행,https://finance.naver.com/item/news_read.naver?article_id=0004647459&office_id=015&code=005930&page=74&sm=
6, 2021.12.31 15:40,이코노미스트,"연공서열 타파한 삼성전자 新 인사제도, 내년부터 시행",https://finance.naver.com/item/news_read.naver?article_id=0000020763&office_id=243&code=005930&page=74&sm=
7, 2021.12.31 14:09,머니투데이,삼성전자 내년부터 연공서열 파괴…임직원 60% 이상 동의,https://finance.naver.com/item/news_read.naver?article_id=0004690436&office_id=008&code=005930&page=74&sm=
8, 2021.12.31 16:30,매경이코노미,길어진 ‘집콕’에 건조기 시장 폭풍 성장…삼성·LG·위닉스 경쟁 치열,https://finance.naver.com/item/news_read.naver?article_id=0000072437&office_id=024&code=005930&page=74&sm=
9, 2021.12.31 14:46,이데일리,"中봉쇄령에 삼성 반도체 생산축소 우려…""직원 교대근무에 어려움""",https://finance.naver.com/item/news_read.naver?article_id=0005117677&office_id=018&code=005930&page=74&sm=
10, 2021.12.31 10:52,헤럴드경제,中 ‘코로나 불똥’이 삼성 반도체에…‘직원 교대’ 어려움이 최대 리스...,https://finance.naver.com/item/news_read.naver?article_id=0001931590&office_id=016&code=005930&page=74&sm=
11, 2021.12.31 13:10,머니투데이,"[2022 증시]""삼성전자 내년엔 좋다""…전문가가 꼽은 추천종목 '톱5...",https://finance.naver.com/item/news_read.naver?article_id=0004690409&office_id=008&code=005930&page=74&sm=
12, 2021.12.31 13:08,머니투데이,"[2022 증시] 삼성전자, 14년 연속 '물려주고 싶은 주식'…해외 ...",https://finance.naver.com/item/news_read.naver?article_id=0004690408&office_id=008&code=005930&page=74&sm=
13, 2021.12.31 11:26,헤럴드경제,"광명전기, 삼성전자와 94억 규모 공급계약 체결",https://finance.naver.com/item/news_read.naver?article_id=0001931666&office_id=016&code=005930&page=74&sm=
