,날짜,언론사,기사제목,링크
0, 2022.01.13 12:38,아시아경제,"삼성 연구진, 두뇌 닮은 최첨단 칩 기술 개발…네이처 게재(종합)",https://finance.naver.com/item/news_read.naver?article_id=0005030091&office_id=277&code=005930&page=22&sm=
1, 2022.01.13 10:05,이데일리,"'뇌 닮은 반도체' 기술 지평 넓혔다…삼성, 세계 첫 'MRAM' 기...",https://finance.naver.com/item/news_read.naver?article_id=0005126089&office_id=018&code=005930&page=22&sm=
2, 2022.01.13 09:31,헤럴드경제,“피튀기는 AI 반도체 선점 전쟁”…삼성이 세계 최초 구현한 ‘이것’...,https://finance.naver.com/item/news_read.naver?article_id=0001936961&office_id=016&code=005930&page=22&sm=
3, 2022.01.13 08:28,아시아경제,"삼성 연구진, 두뇌 닮은 최첨단 칩 기술 세계 최초 구현…네이처 게재",https://finance.naver.com/item/news_read.naver?article_id=0005029808&office_id=277&code=005930&page=22&sm=
4, 2022.01.13 07:44,서울경제,"삼성전자, 또 일냈다···인간 뇌 닮은 '인-메모리 컴퓨팅' 세계 첫...",https://finance.naver.com/item/news_read.naver?article_id=0004007466&office_id=011&code=005930&page=22&sm=
5, 2022.01.13 12:00,아시아경제,K-디지털플랫폼 15개소 신규선정…SKT·삼성重·포스코·성균관대 등,https://finance.naver.com/item/news_read.naver?article_id=0005030061&office_id=277&code=005930&page=22&sm=
6, 2022.01.13 11:55,파이낸셜뉴스,삼성 못뚫은 中 애국소비…애플은 화웨이 제재에도 승승장구,https://finance.naver.com/item/news_read.naver?article_id=0004771630&office_id=014&code=005930&page=22&sm=
7, 2022.01.13 11:37,아시아경제,삼성TV·현대車 가격까지 통제한다는 文정부,https://finance.naver.com/item/news_read.naver?article_id=0005030045&office_id=277&code=005930&page=22&sm=
8, 2022.01.13 10:42,매일경제,네이처지 실린 삼성전자 신기술 보니,https://finance.naver.com/item/news_read.naver?article_id=0004908352&office_id=009&code=005930&page=22&sm=
9, 2022.01.13 09:09,매일경제,"""불가능하다고 여겼는데, 삼성이 또 해냈다""…네이처에 실린 차세대 컴...",https://finance.naver.com/item/news_read.naver?article_id=0004908300&office_id=009&code=005930&page=22&sm=
10, 2022.01.13 10:38,파이낸셜뉴스,"삼성, '메모리+비메모리' 합친 꿈의 반도체로 세상 바꾼다",https://finance.naver.com/item/news_read.naver?article_id=0004771546&office_id=014&code=005930&page=22&sm=
11, 2022.01.13 09:34,머니투데이,"'뇌 모방 반도체' 마지막 퍼즐, 삼성이 맞췄다…M램 기술 첫 구현",https://finance.naver.com/item/news_read.naver?article_id=0004695638&office_id=008&code=005930&page=22&sm=
12, 2022.01.13 10:33,한국경제,"삼성전자 러브콜 받나…퍼스텍, 인수 기대감에 14%대↑",https://finance.naver.com/item/news_read.naver?article_id=0004652372&office_id=015&code=005930&page=22&sm=
13, 2022.01.13 09:56,헤럴드경제,"삼성전자 라이프스타일TV 신제품, ‘시청 안정성’ 인증 받아",https://finance.naver.com/item/news_read.naver?article_id=0001936997&office_id=016&code=005930&page=22&sm=
14, 2022.01.13 08:43,아시아경제,"2022년형 삼성TV, 글로벌 인증기관서 우수성 인정",https://finance.naver.com/item/news_read.naver?article_id=0005029818&office_id=277&code=005930&page=22&sm=
15, 2022.01.13 09:36,파이낸셜뉴스,삼성디지털시티 최근접 지식산업센터 ‘관심’,https://finance.naver.com/item/news_read.naver?article_id=0004771464&office_id=014&code=005930&page=22&sm=
16, 2022.01.13 09:22,서울경제,"삼성 2022년형 TV 신제품, 시청 안전성·색 정확도 인정받아",https://finance.naver.com/item/news_read.naver?article_id=0004007506&office_id=011&code=005930&page=22&sm=
17, 2022.01.13 08:51,이데일리,"""삼성 TV, 눈 편하고 색상 정확""…글로벌 인증기관 우수성 인정",https://finance.naver.com/item/news_read.naver?article_id=0005125967&office_id=018&code=005930&page=22&sm=
