,날짜,언론사,기사제목,링크
0, 2022.01.12 09:21,헤럴드경제,CJ제일제당 삼성전자 ‘비스포크 큐커’와 손잡고 간편식 구독 서비스 론...,https://finance.naver.com/item/news_read.naver?article_id=0001936331&office_id=016&code=005930&page=27&sm=
1, 2022.01.12 09:06,아시아경제,"CJ제일제당, 삼성전자와 손잡고 '마이 큐커 플랜' 구독자 서비스 론...",https://finance.naver.com/item/news_read.naver?article_id=0005029220&office_id=277&code=005930&page=27&sm=
2, 2022.01.12 09:03,파이낸셜뉴스,"CJ-삼성 손잡았다...CJ제일제당, 간편식 구독 'My 큐커 플랜'...",https://finance.naver.com/item/news_read.naver?article_id=0004770696&office_id=014&code=005930&page=27&sm=
3, 2022.01.12 09:18,이데일리,"삼성 '비스포크 큐커', CJ제일제당과 손 잡는다…전용메뉴 대폭 확대",https://finance.naver.com/item/news_read.naver?article_id=0005125065&office_id=018&code=005930&page=27&sm=
4, 2022.01.12 08:09,아시아경제,"삼성 '비스포크 큐커', CJ제일제당과 손잡았다…""메뉴 200개로 확...",https://finance.naver.com/item/news_read.naver?article_id=0005029174&office_id=277&code=005930&page=27&sm=
5, 2022.01.12 05:20,머니투데이,삼성·LG·현대차도 뛰어들었다…한달새 2배 뛴 로봇株,https://finance.naver.com/item/news_read.naver?article_id=0004694956&office_id=008&code=005930&page=27&sm=
6, 2022.01.12 05:08,머니투데이,"CES 전시 끝났지만…""QD-OLED 볼 수 있나요"" 삼성에 문의 빗발",https://finance.naver.com/item/news_read.naver?article_id=0004694953&office_id=008&code=005930&page=27&sm=
7, 2022.01.11 23:57,조선비즈,"CES 출장서 코로나 확진된 삼성전자 임직원, 전세기로 귀국",https://finance.naver.com/item/news_read.naver?article_id=0000786591&office_id=366&code=005930&page=27&sm=
8, 2022.01.11 17:26,매일경제,"삼성, CES출장 코로나 확진자 긴급이송",https://finance.naver.com/item/news_read.naver?article_id=0004907517&office_id=009&code=005930&page=27&sm=
9, 2022.01.11 14:17,서울경제,‘美 CES 참석’ 삼성전자 임직원 20여명 코로나 확진···전세기로...,https://finance.naver.com/item/news_read.naver?article_id=0004006686&office_id=011&code=005930&page=27&sm=
10, 2022.01.11 13:35,이데일리,삼성전자 CES 출장자 20여명 확진…전세기로 귀국 후 격리,https://finance.naver.com/item/news_read.naver?article_id=0005124541&office_id=018&code=005930&page=27&sm=
11, 2022.01.11 11:54,아시아경제,삼성전자 CES 출장자 20여명 확진…현지서 회사 전세기로 귀국,https://finance.naver.com/item/news_read.naver?article_id=0005028810&office_id=277&code=005930&page=27&sm=
12, 2022.01.11 21:21,매일경제,"""이 어려운 걸 삼성이 해낸다""…연매출 300조 여는 한국 경제 버팀목",https://finance.naver.com/item/news_read.naver?article_id=0004907622&office_id=009&code=005930&page=27&sm=
13, 2022.01.11 21:04,머니투데이,"삼성, '반도체 왕좌' 코앞까지 왔다…""인텔 제치고 매출 1위""",https://finance.naver.com/item/news_read.naver?article_id=0004694911&office_id=008&code=005930&page=27&sm=
14, 2022.01.11 19:05,한국경제,"이재용이 해냈다…""삼성, 인텔 제치고 반도체 매출 1위 등극""",https://finance.naver.com/item/news_read.naver?article_id=0004651731&office_id=015&code=005930&page=27&sm=
15, 2022.01.11 18:07,이데일리,'美CES 출장' 여파…삼성·SK·현대重 직원 코로나 잇따라 확진(종합...,https://finance.naver.com/item/news_read.naver?article_id=0005124882&office_id=018&code=005930&page=27&sm=
16, 2022.01.11 17:19,아시아경제,"삼성·현대重 등 임직원, 美 CES 출장서 잇따라 코로나 확진",https://finance.naver.com/item/news_read.naver?article_id=0005029047&office_id=277&code=005930&page=27&sm=
17, 2022.01.11 18:01,한국경제,삼성 가전 일냈다…119만원짜리 40분 만에 '완판' [영상],https://finance.naver.com/item/news_read.naver?article_id=0004651690&office_id=015&code=005930&page=27&sm=
18, 2022.01.11 15:50,서울경제,"""119만원짜리가 40분만에 완판""···난리난 삼성 포터블 스크린",https://finance.naver.com/item/news_read.naver?article_id=0004006752&office_id=011&code=005930&page=27&sm=
19, 2022.01.11 15:44,이데일리,"삼성 '더 프리스타일', 예약판매 첫날 1시간 만에 조기 종료",https://finance.naver.com/item/news_read.naver?article_id=0005124687&office_id=018&code=005930&page=27&sm=
20, 2022.01.11 11:21,파이낸셜뉴스,"삼성전자, 포터블 스크린 '더 프리스타일' 예약 판매",https://finance.naver.com/item/news_read.naver?article_id=0004770137&office_id=014&code=005930&page=27&sm=
21, 2022.01.11 17:39,한국경제,"""삼성 스마트폰 사업 살아난다""…부품株, 박스권 뚫고 나올까",https://finance.naver.com/item/news_read.naver?article_id=0004651650&office_id=015&code=005930&page=27&sm=
