,날짜,언론사,기사제목,링크
0, 2021.12.30 10:01,파이낸셜뉴스,"삼성전자, 美 비스포크 라인업 확대 ""북미 가전 패러다임 새 기준""",https://finance.naver.com/item/news_read.naver?article_id=0004764163&office_id=014&code=005930&page=79&sm=
1, 2021.12.30 08:37,헤럴드경제,"“美 소비자 마음 훔치러 간다”…삼성전자, ‘비스포크’ 라인업 본격 ...",https://finance.naver.com/item/news_read.naver?article_id=0001930972&office_id=016&code=005930&page=79&sm=
2, 2021.12.30 10:00,한국경제,"삼성 비스포크 가전, 미국 시장 '본격 공략'…라인업 확대",https://finance.naver.com/item/news_read.naver?article_id=0004646743&office_id=015&code=005930&page=79&sm=
3, 2021.12.30 08:56,이데일리,"삼성전자, 美서 '비스포크' 라인업 확대…세계 최대 가전시장 공략",https://finance.naver.com/item/news_read.naver?article_id=0005116582&office_id=018&code=005930&page=79&sm=
4, 2021.12.30 09:59,한국경제,"'반도체 대장株' 삼성전자·SK하이닉스, 공급과잉 해소 기대감에 강세",https://finance.naver.com/item/news_read.naver?article_id=0004646741&office_id=015&code=005930&page=79&sm=
5, 2021.12.30 09:19,이데일리,"[특징주]반도체 대형株 강세…""삼성전자 中낸드 감산 호재""",https://finance.naver.com/item/news_read.naver?article_id=0005116631&office_id=018&code=005930&page=79&sm=
6, 2021.12.30 09:01,이데일리,삼성 中반도체 감산에 '7만전자'…낸드 경쟁사 주가는 '쑥',https://finance.naver.com/item/news_read.naver?article_id=0005116589&office_id=018&code=005930&page=79&sm=
7, 2021.12.30 09:56,서울경제,탄탄한 임대수요 갖춘 삼성디지털시티 최근접 지식산업센터 ‘영통 아이파크...,https://finance.naver.com/item/news_read.naver?article_id=0004002405&office_id=011&code=005930&page=79&sm=
8, 2021.12.30 09:34,아시아경제,"[특징주]SK하이닉스, 인텔 인수·삼성 시안 감산 '겹호재'로 강세",https://finance.naver.com/item/news_read.naver?article_id=0005023134&office_id=277&code=005930&page=79&sm=
9, 2021.12.30 09:31,조선비즈,[특징주] 삼성전자 중국 반도체 감산에 SK하이닉스 2%대 강세,https://finance.naver.com/item/news_read.naver?article_id=0000783773&office_id=366&code=005930&page=79&sm=
10, 2021.12.30 09:12,조선비즈,"삼성바이오로직스, 삼성그룹 바이오젠 인수설에 급등",https://finance.naver.com/item/news_read.naver?article_id=0000783769&office_id=366&code=005930&page=79&sm=
11, 2021.12.30 08:27,헤럴드경제,"주식 투자자 10명 중 8명, ""美 마이크론 '어닝 서프라이즈'에 삼성...",https://finance.naver.com/item/news_read.naver?article_id=0001930964&office_id=016&code=005930&page=79&sm=
12, 2021.12.30 07:25,아시아경제,S&P500 또 사상최고‥삼성 피인수설 바이오젠 9% ↑,https://finance.naver.com/item/news_read.naver?article_id=0005023033&office_id=277&code=005930&page=79&sm=
13, 2021.12.30 07:23,이데일리,삼전·SK하이닉스 대형주 따라 반도체 장비·폴더블폰株 훈풍,https://finance.naver.com/item/news_read.naver?article_id=0005116511&office_id=018&code=005930&page=79&sm=
